ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme,image
BIENVENUE CHEZ LES LOUD - T02 - BIENVENUE CHEZ LES LOUD 02 - MESSAGE RECU !,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017048732,10,,Percentage,35,81.00, HACHETTE JEUN.,,, NICKELODEON |  XXX,,,,,11/07/2018,,,,,JEUNESSE,uploads/items/24.jpg
BIENVENUE CHEZ LES LOUD - T03 - BIENVENUE CHEZ LES LOUD 03 - LE GRAND FRERE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017071600,10,,Percentage,35,81.00, HACHETTE JEUN.,,, NICKELODEON |  XXX,,,,,22/08/2018,,,,,JEUNESSE,uploads/items/25.jpg
BIENVENUE CHEZ LES LOUD - T10 - BIENVENUE CHEZ LES LOUD 10 - LA CAFTEUSE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782011183309,10,,Percentage,35,81.00, HACHETTE JEUN.,,, NICKELODEON |  XXX,,,,,27/03/2019,,,,,JEUNESSE,uploads/items/1.jpg
BIENVENUE CHEZ LES LOUD - T11 - BIENVENUE CHEZ LES LOUD 11 - DES DUOS EXPLOSIFS,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017089957,10,,Percentage,35,81.00, HACHETTE JEUN.,,, NICKELODEON |  XXX,,,,,05/06/2019,,,,,JEUNESSE,uploads/items/2.jpg
BIENVENUE CHEZ LES LOUD - T19 - BIENVENUE CHEZ LES LOUD 19 - MESURES DE SECURITE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017873303,10,,Percentage,35,81.00, HACHETTE JEUN.,,, NICKELODEON |  XXX,,,,,24/06/2020,,,,,JEUNESSE,uploads/items/3.jpg
BIENVENUE CHEZ LES LOUD - T21 - BIENVENUE CHEZ LES LOUD 21 - OPERATION SEDUCTION,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782016288856,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,23/09/2020,,,,,JEUNESSE,uploads/items/4.jpg
BIENVENUE CHEZ LES LOUD - T25 - BIENVENUE CHEZ LES LOUD 25 - LE CAMP DE L'ESPACE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017128168,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,03/03/2021,,,,,JEUNESSE,uploads/items/5.jpg
BIENVENUE CHEZ LES LOUD - T26 - BIENVENUE CHEZ LES LOUD 26 - UNE NUIT TERRIFIANTE,livres,,,PIECES,5,Brand 1,11,75.00,TVA,20,Inclusive,48.75,10,9782017145561,10,,Percentage,35,75.00, HACHETTE JEUN.,,, XXX,,,,,07/04/2021,,,,,JEUNESSE,uploads/items/6.jpg
BIENVENUE CHEZ LES LOUD - T27 - BIENVENUE CHEZ LES LOUD 27 - LE NAUFRAGE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017145578,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,09/06/2021,,,,,JEUNESSE,uploads/items/7.jpg
BIENVENUE CHEZ LES LOUD - T28 - BIENVENUE CHEZ LES LOUD 28 - UNE MAMAN PARFAITE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017145752,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,30/06/2021,,,,,JEUNESSE,uploads/items/8.jpg
BIENVENUE CHEZ LES LOUD - T29 - BIENVENUE CHEZ LES LOUD 29 - PANIQUE A L'ECOLE !,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017162049,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,08/09/2021,,,,,JEUNESSE,uploads/items/9.jpg
BIENVENUE CHEZ LES LOUD - T30 - BIENVENUE CHEZ LES LOUD 30 - MYSTERE EN CUISINE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017162124,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,03/11/2021,,,,,JEUNESSE,uploads/items/10.jpg
